Date,HSI
4/10/2001,15594.12012
5/10/2001,15671.15039
8/10/2001,15820.79004
9/10/2001,15654.12988
10/10/2001,15504.79981
11/10/2001,15389.38965
12/10/2001,14815.69043
15/10/2001,15177.51953
16/10/2001,15127.40039
17/10/2001,15298.34961
18/10/2001,15180.84961
19/10/2001,15346.66016
22/10/2001,15188.29981
23/10/2001,14772.50977
24/10/2001,14563.50977
25/10/2001,14376.90039
26/10/2001,14602.75977
29/10/2001,14566.21973
30/10/2001,14169.05957
31/10/2001,13984.38965
1/11/2001,14441.42969
2/11/2001,14559.24023
5/11/2001,14573.20996
6/11/2001,15098.9502
7/11/2001,15011.51953
8/11/2001,15189.33008
9/11/2001,15408.54004
12/11/2001,15329.59961
13/11/2001,15621.73047
14/11/2001,15496.99023
15/11/2001,14975.53027
16/11/2001,15024.53027
19/11/2001,15188.04004
20/11/2001,14930.71973
21/11/2001,14659.32031
22/11/2001,14738.20996
23/11/2001,null
26/11/2001,null
27/11/2001,14748.36035
28/11/2001,14796.54981
29/11/2001,15095.53027
30/11/2001,null
3/12/2001,14869.94043
4/12/2001,14589.58008
5/12/2001,15235.03027
6/12/2001,15447.61035
7/12/2001,15436.53027
10/12/2001,15500.58984
11/12/2001,15435.79004
12/12/2001,15090.76953
13/12/2001,15295.41992
14/12/2001,15293.75977
17/12/2001,15363.15039
18/12/2001,15261.48047
19/12/2001,15528.75
20/12/2001,15933.54981
21/12/2001,16099.26953
24/12/2001,16044.20996
25/12/2001,null
26/12/2001,null
27/12/2001,null
28/12/2001,16099.82031
31/12/2001,15893.07031
1/1/2002,16102.34961
2/1/2002,16163.99023
3/1/2002,16071.29004
4/1/2002,15830.83984
7/1/2002,15913.24023
8/1/2002,16049.46973
9/1/2002,15909.40039
10/1/2002,15873.28027
11/1/2002,15693.11035
14/1/2002,15842.71973
15/1/2002,15860.41992
16/1/2002,15756.37012
17/1/2002,15630.30957
18/1/2002,15490.95996
21/1/2002,15527.36035
22/1/2002,15351.50977
23/1/2002,15098.63965
24/1/2002,15280.55957
25/1/2002,15230.21973
28/1/2002,14834.73047
29/1/2002,14787.87012
30/1/2002,14360.55957
31/1/2002,13966.42969
1/2/2002,14135.25977
4/2/2002,14321.04981
5/2/2002,14177.36035
6/2/2002,14208.9502
7/2/2002,14194.34961
8/2/2002,13776.71973
11/2/2002,13493.03027
12/2/2002,13330.83984
13/2/2002,13504.16992
14/2/2002,13522.04004
15/2/2002,13457.69043
18/2/2002,13223.86035
19/2/2002,13154.44043
20/2/2002,12621.84961
21/2/2002,12583.36035
22/2/2002,12950.49023
25/2/2002,12707.90039
26/2/2002,12851.41016
27/2/2002,12677.88965
28/2/2002,12760.63965
1/3/2002,12727.29981
4/3/2002,12584.21973
5/3/2002,12063.70996
6/3/2002,null
7/3/2002,12386.61035
8/3/2002,12202.09961
11/3/2002,12213.66992
12/3/2002,12706.42969
13/3/2002,12989.46973
14/3/2002,null
15/3/2002,null
18/3/2002,12606.4502
19/3/2002,12972.79981
20/3/2002,13548.9502
21/3/2002,13448.12988
22/3/2002,13311.5
25/3/2002,13274.61035
26/3/2002,13249.54981
27/3/2002,13293.11035
28/3/2002,13386.04004
29/3/2002,null
1/4/2002,null
2/4/2002,13814.24023
3/4/2002,13718.13965
4/4/2002,13390.99023
5/4/2002,13600.78027
8/4/2002,13540.80957
9/4/2002,13585.13965
10/4/2002,13604.79981
11/4/2002,13636.61035
12/4/2002,13259.16992
15/4/2002,13250.08984
16/4/2002,13335.9502
17/4/2002,13637.87012
18/4/2002,13459.17969
19/4/2002,13721.26953
22/4/2002,13877.9502
23/4/2002,13839.09961
24/4/2002,13810.59961
25/4/2002,13753.99023
26/4/2002,13739.07031
29/4/2002,13629.61035
30/4/2002,13420.12988
1/5/2002,13174.41016
2/5/2002,13141.37988
3/5/2002,13207.49023
6/5/2002,13451.87012
7/5/2002,13576.00977
8/5/2002,13703.42969
9/5/2002,13808.88965
10/5/2002,13675.49023
13/5/2002,13526.67969
14/5/2002,13523.30957
15/5/2002,13248.88965
16/5/2002,13102.5
17/5/2002,12948.78027
20/5/2002,13133.66016
21/5/2002,12918.70996
22/5/2002,13187.4502
23/5/2002,13174.01953
24/5/2002,null
27/5/2002,12961.96973
28/5/2002,13004.20996
29/5/2002,12827.82031
30/5/2002,13042.53027
31/5/2002,null
3/6/2002,13184.75
4/6/2002,13207.53027
5/6/2002,12999.48047
6/6/2002,null
7/6/2002,12690.67969
10/6/2002,12713.90039
11/6/2002,12527.90039
12/6/2002,12660.2002
13/6/2002,12612.79004
14/6/2002,12624.53027
17/6/2002,12495.25
18/6/2002,12427.19043
19/6/2002,12279.82031
20/6/2002,12301.67969
21/6/2002,12236.4502
24/6/2002,12214.09961
25/6/2002,null
26/6/2002,12039.82031
27/6/2002,12182.16992
28/6/2002,12086.66016
1/7/2002,12316.69043
2/7/2002,12478.74023
3/7/2002,12466.37012
4/7/2002,12269.08008
5/7/2002,12148.80957
8/7/2002,12007.19043
9/7/2002,11958.00977
10/7/2002,11716.76953
11/7/2002,11765.80957
12/7/2002,11694.29004
15/7/2002,11991.00977
16/7/2002,12141.62988
17/7/2002,11832.44043
18/7/2002,11754.80957
19/7/2002,11458.7002
22/7/2002,11440.34961
23/7/2002,11188.57031
24/7/2002,11345.37988
25/7/2002,11110.29981
26/7/2002,11234.71973
29/7/2002,11300.53027
30/7/2002,11242.41016
31/7/2002,11315.62988
1/8/2002,11090.48047
2/8/2002,10902.63965
5/8/2002,11136.86035
6/8/2002,10943.13965
7/8/2002,10664.32031
8/8/2002,10384.2002
9/8/2002,10366.32031
12/8/2002,10417.36035
13/8/2002,9493.620117
14/8/2002,9569.209961
15/8/2002,9655.450195
16/8/2002,9319.349609
19/8/2002,9307.900391
20/8/2002,9558.150391
21/8/2002,9317.980469
22/8/2002,8934.200195
23/8/2002,9284.5
26/8/2002,9210.05957
27/8/2002,9371.75
28/8/2002,9600.790039
29/8/2002,9950.700195
30/8/2002,null
2/9/2002,null
3/9/2002,9897.139648
4/9/2002,10286.38965
5/9/2002,10277.37988
6/9/2002,9967.830078
9/9/2002,10358.92969
10/9/2002,10298.24023
11/9/2002,10522.61035
12/9/2002,10274.12988
13/9/2002,10130.58984
16/9/2002,10148.49023
17/9/2002,10260.80957
18/9/2002,9880.610352
19/9/2002,9825.839844
20/9/2002,9797.540039
23/9/2002,10219.83984
24/9/2002,10243.45996
25/9/2002,10243.45996
26/9/2002,10404.74023
27/9/2002,10178.08984
30/9/2002,10076.42969
1/10/2002,10073.96973
2/10/2002,10158.84961
3/10/2002,10186.05957
4/10/2002,10430.71973
7/10/2002,10356.04981
8/10/2002,10269.79004
9/10/2002,10538.62012
10/10/2002,10609.25
11/10/2002,10592.4502
14/10/2002,10662.83984
15/10/2002,10950.04004
16/10/2002,11239.38965
17/10/2002,11287.37012
18/10/2002,11360.25977
21/10/2002,11225.79004
22/10/2002,11173.91992
23/10/2002,11253.29981
24/10/2002,11322.36035
25/10/2002,11391.95996
28/10/2002,11261.54004
29/10/2002,11066.19043
30/10/2002,11090.74023
31/10/2002,11279.25
